datetime,sub_catch0,sub_catch1,sub_catch2,sub_catch3,sub_catch4,sub_catch5,sub_catch6,sub_catch7,sub_catch8,sub_catch9,sub_catch10,sub_catch11,sub_catch12,sub_catch13,sub_catch14,sub_catch15,sub_catch16,sub_catch17,sub_catch18,sub_catch19,sub_catch20,sub_catch21,sub_catch22,sub_catch23,sub_catch24,sub_catch25,sub_catch26,sub_catch27,sub_catch28,sub_catch29,sub_catch30,sub_catch31,sub_catch32,sub_catch33,sub_catch34,sub_catch35,sub_catch36,sub_catch37,sub_catch38,sub_catch39,sub_catch40,sub_catch41,sub_catch42,sub_catch43,sub_catch44,sub_catch45,sub_catch46
2018-10-05 05:05:00,1.1569666431944863,0.09651378060809974,1.6480671453583255,1.5874680229972733,0.11832944929272439,0.7701300747515004,1.5956251213113357,0.19746748690314533,1.5191918381275025,1.1704446012567662,1.5227559580044803,0.48606670085393283,3.576231132209432,3.446720601159203,0.21790134567649108,0.3045473190091922,0.10088733025931633,0.5998106627619658,0.5518566333259661,1.2141073382600354,0.08693151820564966,2.210634685468424,5.304772026414832,0.6347089341604565,0.20333702627395941,0.3122818180949364,4.015153870199985,1.3873721041639608,1.2122048737119235,1.9463474208167582,0.01586920876707134,0.25391042099811817,0.6083895374043382,0.6550378188574976,0.01737346639774642,0.01223709660585896,9.840999516435609,0.824952578070821,1.1171911843714597,0.2039821167087417,0.6795724886383062,0.03742906799473707,0.3271263776444627,1.5971902315520263,1.3721556236528787,0.04263482261799657,1.603022151418917
2018-10-05 05:10:00,1.1030170843656932,0.08828754025095252,1.638111844848892,1.5429575538412976,0.1114730844092215,0.7449712612286065,1.6009016831618488,0.187476969994208,1.534301166808139,1.102417990682945,1.478014850082631,0.45773507466541363,3.598424418501896,3.487494438188522,0.19749296266535527,0.28297894061057594,0.09339711991383402,0.5683884514771822,0.5217625146412377,1.169460330582767,0.07948040693667707,2.170788045279713,5.321271911021112,0.5942905412149448,0.18707523307057344,0.28411794161823173,3.989482046175029,1.3363712332934177,1.1579970167211204,1.891782734365601,0.01346703463580646,0.23270889369216646,0.582395362925929,0.6315671131329756,0.01607301250781937,0.01122212467552538,9.878307223105466,0.7882776625048257,1.0630370378073353,0.18510204917801953,0.6345601843014347,0.03266989733521435,0.30647829932631004,1.5806483794820139,1.3169936436520107,0.03778976980964877,1.5660201475827564
2018-10-05 05:15:00,1.097999300078588,0.09044559111245523,1.6587793693531392,1.5243883431263046,0.12056108455469317,0.7458094655783662,1.6261477975701415,0.1873305643226692,1.56523589129702,1.062150742454246,1.452547987755847,0.44361119037156205,3.642404044054249,3.54231013526175,0.18569333622211212,0.2757892808376062,0.09456716490868924,0.5511065660423242,0.5026811940306553,1.135647213927213,0.07934272085166813,2.1314730938808997,5.360811372081145,0.5634703467028246,0.17687303020350073,0.26091092863296117,3.9642980144008924,1.2906237743046431,1.1104125503601654,1.8372301748202862,0.01150261785645228,0.2234705311906211,0.5674953027053463,0.6167063417897481,0.01908768305582078,0.01388367568294157,9.924631794836523,0.7646964215076054,1.0122547622882048,0.17311824119136773,0.5941014175367922,0.03142627898267955,0.29146680107627027,1.578501150998751,1.2628022720207006,0.03361122524933619,1.535728123593786
2018-10-05 05:20:00,1.0474083954084579,0.08284968681045574,1.6418788370648445,1.4805211523870834,0.11354553644724577,0.7216770985231112,1.6281095453829413,0.17885635974194103,1.5769389500846815,1.0017722013851489,1.4051034542950855,0.4172077005877909,3.6531257149512135,3.5722707834667236,0.16892279168614197,0.2566944617849832,0.08764896841660356,0.5223181077129541,0.47523948858307213,1.091520400911576,0.07268201161549473,2.0882798985875737,5.3647550927231915,0.527973496139506,0.16309382580897325,0.23832291397005026,3.929283081789724,1.2402783736532916,1.0603395061359164,1.782839988178641,0.00988344591419702,0.2053455332607064,0.5419828762199613,0.5929035691154144,0.01762794340204592,0.01269855755711669,9.940484013876791,0.7305204278882453,0.962087504971876,0.15768177225882454,0.5548373084661699,0.02758544939496341,0.2730365362966843,1.554511648759403,1.2095785683043005,0.02999223370575215,1.4951481139060803
2018-10-05 05:25:00,1.0080540989893123,0.07705796118905842,1.6224858008014906,1.4368100299886803,0.10702809385039835,0.698332884263095,1.6274081707912382,0.1706946403797882,1.586347577474255,0.9587701180166619,1.3584867514015797,0.39250774087470097,3.657003491949657,3.5952186176955485,0.1565993818177801,0.23956425437573864,0.08134698931739394,0.4946134485681615,0.44922212379900844,1.0478881056979288,0.0667010644744363,2.044005645761495,5.361823368479317,0.4957431307573079,0.15051981784383683,0.22325069196667915,3.889695632113784,1.1916797817198033,1.0159358202234938,1.7291951331774624,0.00952747205252511,0.1896680997681005,0.5168794699603165,0.5689100483299846,0.01630406070103776,0.01163639680176893,9.942114733293762,0.696745151348267,0.9211981328419665,0.145431477197756,0.5249415029541223,0.02431215175201113,0.25570980027129403,1.527493899838426,1.1621912977103517,0.02685206531047457,1.453728897959779
2018-10-05 05:30:00,0.9625067533337839,0.07081819792445877,1.600801488140981,1.3925192986909252,0.10096714825481905,0.6757558107285886,1.6240908171653916,0.16285655254587678,1.593392190267384,0.9055285503726263,1.3115514151041907,0.3691895234816431,3.654284279792678,3.611235107634346,0.14299425772792182,0.2235018958754084,0.07559679899767918,0.46804872056363567,0.4245471224878436,1.0049707370667185,0.06131858215725031,1.998857403865736,5.352177101914226,0.464926872264349,0.13904357498952494,0.20459685574194236,3.8458539961748244,1.1440006383658001,0.9695270858519272,1.6759850845778537,0.00824224260835985,0.17484880746627635,0.49234828821480203,0.5449798540635513,0.0151012005358019,0.01068224705252451,9.930221926626864,0.6636562266716732,0.8749860353370997,0.1329679561352304,0.49057748370276355,0.02150869225765344,0.23945758555475044,1.4978577084831215,1.1121107981249878,0.0241045303962598,1.4117334016406757
2018-10-05 05:35:00,0.9194749912221379,0.06519293980004648,1.5770488728397902,1.3480762277667326,0.09532507675216303,0.6539251932809388,1.6182293831306716,0.15534712133693118,1.5980318581498818,0.8558957149237836,1.2647232269224777,0.3472250953883731,3.645266084113973,3.6204705169625995,0.1308254719747701,0.2087519190576192,0.07034167482415656,0.44269082425307393,0.40119087072477017,0.9629495357409414,0.05646437052483828,1.953030808866919,5.336028170955586,0.4362056217414591,0.1285653617931314,0.1878379395476503,3.798089197004914,1.0974600621950488,0.9250893677137406,1.6233466000984613,0.00716623852073761,0.16143829388918582,0.46851420599637794,0.5213185622900759,0.01400638044874884,0.00982323623048804,9.90548538245042,0.631468551416254,0.8308292269402252,0.1218026237287147,0.45860268747562305,0.01909646371060579,0.22424125893004088,1.4660128307816778,1.0634006946811225,0.02169786675407947,1.3694133876924883
2018-10-05 05:40:00,0.8787950255784677,0.06011123485913803,1.5514619995153307,1.3038255991540717,0.09006781252651441,0.6328205979568848,1.6099185351571201,0.14816661416652868,1.6002534250570113,0.8095837151315205,1.2183428987939449,0.32657266885798564,3.630286526222394,3.623135417261917,0.11991540227134048,0.19518833794165516,0.06553156579363742,0.41857090555130216,0.37911778283177705,0.9219701209346528,0.05207763980206589,1.9067081837435993,5.313628765598839,0.4094433091762474,0.11899336515815728,0.1727483520222557,3.7467400949654825,1.0522150470257297,0.8825861175032866,1.5713898747789463,0.00625985910502625,0.14927947591202936,0.44546932692535457,0.4980895534708927,0.0130082106161354,0.00904824412378371,9.868576307919287,0.600338027529807,0.7887083889961433,0.1117770635561615,0.42887441779969304,0.01701179402092326,0.21001568836951548,1.4323559645896484,1.0161926119213938,0.01958265601417841,1.3270024062373469
2018-10-05 05:45:00,0.8403153234496049,0.05551149083262019,1.524277710049411,1.2600429428906372,0.08516446665819817,0.6124217979764933,1.5992728544258643,0.1413116442609084,1.600070133919938,0.7663310029175582,1.172679759940105,0.30718109199681015,3.6097122033661297,3.619491327964482,0.11011149805411503,0.18269901545459555,0.06112221171116116,0.39569340597036967,0.3582838518941188,0.8821462671385419,0.04810559270535462,1.8600591763529488,5.285262482925993,0.38450878065978755,0.11024358262120522,0.15913317309084307,3.692148748356661,1.0083742471583175,0.8419730828593335,1.5202167368604875,0.00549199343199984,0.13823529081608651,0.4232781918486866,0.47541990738256734,0.01209667465531061,0.00834763527496598,9.820163093651063,0.570372159671395,0.7485903545863524,0.10275492861153185,0.40124961118315655,0.01520278526107485,0.19673169984590533,1.3972618565180746,0.9705779898036386,0.01771763728133511,1.2847118700698783
2018-10-05 05:50:00,0.8038955723114748,0.05134009128710847,1.495729374049407,1.2169458645269104,0.08058699452314814,0.5927087546148432,1.586423501426471,0.1347760605402215,1.5975197667562608,0.7258996645235576,1.1279435017372197,0.2889932519780557,3.583929159287109,3.60984110855929,0.10128231787440291,0.1711839532679326,0.05707439099034613,0.37404313129589567,0.33863941717373097,0.8435636957897904,0.04450224660606505,1.813241174327053,5.251236837223882,0.3612767940151867,0.10223950263770845,0.14682348211800347,3.6346561649202376,0.9660086556025586,0.8031998418427856,1.4699192617829127,0.0048379981702826,0.12818583507315218,0.4019824996054509,0.4534058165630352,0.01126294378045401,0.00771303682683444,9.760914172244112,0.541639334803037,0.7104305964951806,0.09461849799831631,0.3755878193336438,0.01362688700485389,0.1843379765925589,1.3610776362872268,0.9266158961450094,0.01606820317147943,1.2427293078373998
