The data supplied is licensed under a Creative Commons Attribution 4.0 licence. ,,,,
To view a copy of this licence visit:,,,,
http://creativecommons.org/licenses/by/4.0,,,,
,,,,
Licence:,,,,
This work is licensed under a Creative Commons Attribution 4.0 Licence: ,,,,
http://creativecommons.org/licenses/by/4.0/legalcode ,,,,
,,,,
You are free:,,,,
,,,,
               1.to copy distribute display and perform the work,,,,
               2.to make derivative works,,,,
               3.to make commercial use of the work,,,,
,,,,
Under the following conditions:,,,,
,,,,
               1. You must give the original author credit.,,,,
"               2. Please attribute ""NSW Office of Environment and Heritage"" in any publications using this data.",,,,
,,,,
,,,,
Station Name, Cabbage Tree Creek Downstream (Live),,,
Station Number,214406,,,
Longitude,150.892547,,,
Latitude,-34.396809,,,
Web,http://www.mhl.nsw.gov.au/Site-214406,,,
Google Maps,"https://www.google.com.au/maps/place//@-34.396809,150.892547,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",,,
,,,,
Datum, AHD,,,
1/10/1998,0:00:00,4.040,161 (Data Loss),1/10/1998 0:00
2/10/1998,0:00:00,4.040,161 (Data Loss),2/10/1998 0:00
3/10/1998,0:00:00,4.040,161 (Data Loss),3/10/1998 0:00
4/10/1998,0:00:00,4.040,161 (Data Loss),4/10/1998 0:00
5/10/1998,0:00:00,4.040,161 (Data Loss),5/10/1998 0:00
6/10/1998,0:00:00,4.040,161 (Data Loss),6/10/1998 0:00
7/10/1998,0:00:00,4.040,161 (Data Loss),7/10/1998 0:00
8/10/1998,0:00:00,4.040,161 (Data Loss),8/10/1998 0:00
9/10/1998,0:00:00,4.040,161 (Data Loss),9/10/1998 0:00
10/10/1998,0:00:00,4.040,161 (Data Loss),10/10/1998 0:00
11/10/1998,0:00:00,4.040,161 (Data Loss),11/10/1998 0:00
12/10/1998,0:00:00,4.040,161 (Data Loss),12/10/1998 0:00
13/10/1998,0:00:00,4.040,161 (Data Loss),13/10/1998 0:00
14/10/1998,0:00:00,4.040,161 (Data Loss),14/10/1998 0:00
15/10/1998,0:00:00,4.040,161 (Data Loss),15/10/1998 0:00
16/10/1998,0:00:00,4.040,161 (Data Loss),16/10/1998 0:00
17/10/1998,0:00:00,4.040,161 (Data Loss),17/10/1998 0:00
18/10/1998,0:00:00,4.040,161 (Data Loss),18/10/1998 0:00
19/10/1998,0:00:00,4.030,161 (Data Loss),19/10/1998 0:00
20/10/1998,0:00:00,4.030,161 (Data Loss),20/10/1998 0:00
21/10/1998,0:00:00,4.030,161 (Data Loss),21/10/1998 0:00
22/10/1998,0:00:00,4.030,161 (Data Loss),22/10/1998 0:00
23/10/1998,0:00:00,4.030,161 (Data Loss),23/10/1998 0:00
24/10/1998,0:00:00,4.030,161 (Data Loss),24/10/1998 0:00
25/10/1998,0:00:00,4.030,161 (Data Loss),25/10/1998 0:00
26/10/1998,0:00:00,4.030,161 (Data Loss),26/10/1998 0:00
27/10/1998,0:00:00,4.030,161 (Data Loss),27/10/1998 0:00
28/10/1998,0:00:00,4.030,161 (Data Loss),28/10/1998 0:00
29/10/1998,0:00:00,4.030,161 (Data Loss),29/10/1998 0:00
30/10/1998,0:00:00,4.030,161 (Data Loss),30/10/1998 0:00
31/10/1998,0:00:00,4.030,161 (Data Loss),31/10/1998 0:00
1/11/1998,0:00:00,4.030,161 (Data Loss),1/11/1998 0:00
2/11/1998,0:00:00,4.030,161 (Data Loss),2/11/1998 0:00
3/11/1998,0:00:00,4.030,161 (Data Loss),3/11/1998 0:00
4/11/1998,0:00:00,4.030,161 (Data Loss),4/11/1998 0:00
5/11/1998,0:00:00,4.030,161 (Data Loss),5/11/1998 0:00
6/11/1998,0:00:00,4.030,161 (Data Loss),6/11/1998 0:00
7/11/1998,0:00:00,4.030,161 (Data Loss),7/11/1998 0:00
8/11/1998,0:00:00,4.030,161 (Data Loss),8/11/1998 0:00
9/11/1998,0:00:00,4.030,161 (Data Loss),9/11/1998 0:00
10/11/1998,0:00:00,4.030,161 (Data Loss),10/11/1998 0:00
