id,568309,568307,568314,568229,568316,568317,568318,
###START_METADATA###
latitude,-34.479421,-34.450693,-34.444109,-34.398015,-34.479004,-34.351047,-34.358048,
longitude,150.79439,150.765423,150.818173,150.857178,150.894412,150.882888,150.894627,
name,Darkes Road (Live),Dombarton Loop (Live),Mount Kembla (Live),Mt Pleasant (Live),Port Kembla (Live),Rixons Pass (Live),Russell Vale (Live),
###START_DATA###
1998-08-17 07:45,,0.5,0.5,,0.5,0.5,,
1998-08-17 07:49,0.5,,,,,,,
1998-08-17 07:50,,0.5,1.0,,0.5,0.5,1.0,
1998-08-17 07:52,0.5,,,,,,,
1998-08-17 07:55,,1.0,0.5,,0.5,0.5,1.0,
1998-08-17 07:58,0.5,,,,,,,
1998-08-17 08:00,,1.0,1.0,,0.5,1.0,0.5,
1998-08-17 08:01,0.5,,,,,,,
1998-08-17 08:03,,,,0.5,,,,
1998-08-17 08:05,0.5,0.5,,,0.5,1.0,0.5,
1998-08-17 08:10,,1.0,0.5,,1.5,0.5,0.5,
1998-08-17 08:12,0.5,,,,,,,
1998-08-17 08:15,,1.0,0.5,,0.5,1.5,0.5,
1998-08-17 08:20,,0.5,,,0.5,0.5,1.0,
1998-08-17 08:23,0.5,,,,,,,
1998-08-17 08:25,0.5,,0.5,,1.0,2.5,1.5,
1998-08-17 08:27,0.5,,,,,,,
1998-08-17 08:30,,1.0,1.0,,1.0,2.0,2.0,
1998-08-17 08:31,0.5,,,,,,,
1998-08-17 08:35,,1.0,1.0,,0.5,1.0,1.5,
1998-08-17 08:36,0.5,,,,,,,
1998-08-17 08:37,,,,0.5,,,,
1998-08-17 08:39,0.5,,,,,,,
1998-08-17 08:40,,2.0,1.5,,1.0,1.5,0.5,
1998-08-17 08:42,0.5,,,,,,,
1998-08-17 08:45,0.5,1.0,0.5,,0.5,1.5,1.5,
1998-08-17 08:49,0.5,,,,,,,
1998-08-17 08:50,,1.0,1.0,,0.5,1.0,1.0,
1998-08-17 08:51,0.5,,,,,,,
1998-08-17 08:54,0.5,,,,,,,
1998-08-17 08:55,,1.5,1.0,,1.0,1.0,0.5,
1998-08-17 08:57,0.5,,,,,,,
1998-08-17 09:00,,1.0,0.5,,1.0,1.0,1.0,
1998-08-17 09:01,0.5,,,,,,,
1998-08-17 09:03,0.5,,,,,,,
1998-08-17 09:05,,1.0,1.0,,1.0,0.5,0.5,
1998-08-17 09:08,0.5,,,0.5,,,,
1998-08-17 09:10,,1.0,1.0,,0.5,1.0,1.0,
1998-08-17 09:11,0.5,,,,,,,
1998-08-17 09:15,0.5,1.0,0.5,,1.0,0.5,0.5,
1998-08-17 09:19,0.5,,,,,,,
1998-08-17 09:20,,1.0,0.5,,0.5,0.5,,
1998-08-17 09:24,0.5,,,,,,,
1998-08-17 09:25,,0.5,1.0,,0.5,1.0,0.5,
1998-08-17 09:27,0.5,,,,,,,
1998-08-17 09:30,,0.5,0.5,,1.0,1.0,1.0,
1998-08-17 09:32,0.5,,,,,,,
1998-08-17 09:34,,,,0.5,,,,
1998-08-17 09:35,0.5,1.0,0.5,,1.0,1.5,1.5,
1998-08-17 09:39,0.5,,,,,,,
1998-08-17 09:40,,1.0,1.0,,0.5,1.0,1.0,
1998-08-17 09:41,,,,0.5,,,,
1998-08-17 09:42,0.5,,,,,,,
1998-08-17 09:45,,0.5,0.5,0.5,0.5,1.5,1.0,
1998-08-17 09:46,0.5,,,,,,,
1998-08-17 09:49,0.5,,,0.5,,,,
1998-08-17 09:50,,1.0,1.0,,0.5,0.5,0.5,
1998-08-17 09:52,0.5,,,,,,,
1998-08-17 09:53,,,,0.5,,,,
1998-08-17 09:55,0.5,1.5,1.0,,1.0,0.5,,
1998-08-17 09:57,,,,0.5,,,,
1998-08-17 09:58,0.5,,,,,,,
1998-08-17 10:00,,1.5,3.0,,0.5,2.5,1.5,
1998-08-17 10:01,0.5,,,0.5,,,,
1998-08-17 10:02,0.5,,,,,,,
1998-08-17 10:04,0.5,,,,,,,
1998-08-17 10:05,,1.5,1.0,0.5,1.0,0.5,1.0,
1998-08-17 10:06,0.5,,,,,,,
1998-08-17 10:08,0.5,,,,,,,
1998-08-17 10:09,0.5,,,0.5,,,,
1998-08-17 10:10,0.5,1.0,1.5,,0.5,1.0,0.5,
1998-08-17 10:11,0.5,,,,,,,
1998-08-17 10:12,0.5,,,,,,,
1998-08-17 10:13,,,,0.5,,,,
1998-08-17 10:14,1.0,,,,,,,
1998-08-17 10:15,,1.0,0.5,,1.0,1.5,1.0,
1998-08-17 10:16,0.5,,,,,,,
1998-08-17 10:17,,,,0.5,,,,
1998-08-17 10:19,0.5,,,,,,,
1998-08-17 10:20,,0.5,0.5,,0.5,1.5,0.5,
1998-08-17 10:21,,,,0.5,,,,
1998-08-17 10:23,0.5,,,,,,,
1998-08-17 10:25,0.5,1.0,1.0,0.5,0.5,0.5,1.0,
1998-08-17 10:29,,,,0.5,,,,
1998-08-17 10:30,,1.0,1.0,,0.5,1.0,0.5,
1998-08-17 10:31,0.5,,,,,,,
1998-08-17 10:33,,,,0.5,,,,
1998-08-17 10:34,0.5,,,,,,,
1998-08-17 10:35,,1.0,1.0,,0.5,0.5,0.5,
1998-08-17 10:37,0.5,,,0.5,,,,
1998-08-17 10:40,,1.0,,,1.5,2.0,1.0,
1998-08-17 10:41,,,,0.5,,,,
1998-08-17 10:45,0.5,1.0,1.0,0.5,0.5,0.5,0.5,
1998-08-17 10:47,0.5,,,,,,,
1998-08-17 10:48,,,,0.5,,,,
1998-08-17 10:50,0.5,3.0,1.5,,1.0,1.5,0.5,
1998-08-17 10:52,,,,0.5,,,,
1998-08-17 10:53,0.5,,,,,,,
1998-08-17 10:55,,2.0,0.5,,0.5,1.0,1.5,
1998-08-17 10:56,0.5,,,0.5,,,,
1998-08-17 11:00,0.5,1.0,0.5,0.5,0.5,1.5,0.5,
1998-08-17 11:03,0.5,,,,,,,
1998-08-17 11:04,,,,0.5,,,,
1998-08-17 11:05,,0.5,0.5,,1.5,1.5,1.0,
