EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6604,15,5,Southern Slopes (Tasmania),frequent,39.39,34.04,26.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,15,5,Southern Slopes (Tasmania),frequent,29.03,33.87,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6607,15,5,Southern Slopes (Tasmania),frequent,33.33,48.15,18.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6608,15,5,Southern Slopes (Tasmania),frequent,28.58,21.21,50.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6610,15,5,Southern Slopes (Tasmania),frequent,21.38,33.64,44.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6448,15,5,Southern Slopes (Tasmania),intermediate,32.21,35.59,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6544,15,5,Southern Slopes (Tasmania),intermediate,21.79,35.9,42.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6549,15,5,Southern Slopes (Tasmania),intermediate,44.11,38.24,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6584,15,5,Southern Slopes (Tasmania),intermediate,49.1,25.45,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6585,15,5,Southern Slopes (Tasmania),intermediate,45.64,23.25,31.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6586,15,5,Southern Slopes (Tasmania),intermediate,24.69,45.68,29.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6595,15,5,Southern Slopes (Tasmania),intermediate,34.48,34.86,30.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6596,15,5,Southern Slopes (Tasmania),intermediate,38.6,43.86,17.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6597,15,5,Southern Slopes (Tasmania),intermediate,22.81,29.82,47.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6598,15,5,Southern Slopes (Tasmania),intermediate,32.81,18.75,48.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6514,15,5,Southern Slopes (Tasmania),rare,22.3,52.38,25.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6516,15,5,Southern Slopes (Tasmania),rare,27.16,45.68,27.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6524,15,5,Southern Slopes (Tasmania),rare,30.31,45.45,24.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6532,15,5,Southern Slopes (Tasmania),rare,30.26,36.97,32.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6567,15,5,Southern Slopes (Tasmania),rare,45.64,27.18,27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6568,15,5,Southern Slopes (Tasmania),rare,46.38,20.29,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6574,15,5,Southern Slopes (Tasmania),rare,32.11,28.07,39.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6577,15,5,Southern Slopes (Tasmania),rare,36.98,37.42,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6578,15,5,Southern Slopes (Tasmania),rare,36.05,41.86,22.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6583,15,5,Southern Slopes (Tasmania),rare,25.3,35.82,38.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6642,20,5,Southern Slopes (Tasmania),frequent,49.1,4.13,18.6,28.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6643,20,5,Southern Slopes (Tasmania),frequent,36.38,24.76,11.3,27.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6645,20,5,Southern Slopes (Tasmania),frequent,52.07,10.79,17.09,20.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,20,5,Southern Slopes (Tasmania),frequent,24.17,13.17,33.84,28.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6651,20,5,Southern Slopes (Tasmania),frequent,28.46,30.47,25.5,15.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6654,20,5,Southern Slopes (Tasmania),frequent,31.58,21.05,26.32,21.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6656,20,5,Southern Slopes (Tasmania),frequent,27.17,29.34,23.3,20.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6658,20,5,Southern Slopes (Tasmania),frequent,26.66,28,25.56,19.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
