The data supplied is licensed under a Creative Commons Attribution 4.0 licence. 
To view a copy of this licence visit:
http://creativecommons.org/licenses/by/4.0

Licence:
This work is licensed under a Creative Commons Attribution 4.0 Licence: 
http://creativecommons.org/licenses/by/4.0/legalcode 

You are free:

               1.to copy distribute display and perform the work
               2.to make derivative works
               3.to make commercial use of the work

Under the following conditions:

               1. You must give the original author credit.
               2. Please attribute "NSW Office of Environment and Heritage" in any publications using this data.


Station Name, Fairy Creek Upstream (Live)
Station Number, 214403
Longitude,150.892561
Latitude,-34.413477
Web,"http://www.mhl.nsw.gov.au/Site-214403"
Google Maps,"https://www.google.com.au/maps/place//@-34.413477,150.892561,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0"

Datum, AHD

Parameter, Level 1
Date,Time,Value[m],State of value,Occurrence time stamp
13/03/2006,00:00:00,1.030,100 (Leost Code),13/03/2006 02:45:00
14/03/2006,00:00:00,1.080,100 (Leost Code),14/03/2006 23:30:00
15/03/2006,00:00:00,1.110,100 (Leost Code),15/03/2006 08:15:00
16/03/2006,00:00:00,1.050,100 (Leost Code),16/03/2006 00:00:00
17/03/2006,00:00:00,1.110,100 (Leost Code),17/03/2006 19:15:00
18/03/2006,00:00:00,1.040,100 (Leost Code),18/03/2006 05:30:00
19/03/2006,00:00:00,1.040,100 (Leost Code),19/03/2006 07:15:00
20/03/2006,00:00:00,1.040,100 (Leost Code),20/03/2006 00:00:00
21/03/2006,00:00:00,1.050,100 (Leost Code),21/03/2006 11:00:00
22/03/2006,00:00:00,1.060,100 (Leost Code),22/03/2006 08:00:00
23/03/2006,00:00:00,1.210,100 (Leost Code),23/03/2006 07:00:00
24/03/2006,00:00:00,1.180,100 (Leost Code),24/03/2006 07:45:00
25/03/2006,00:00:00,1.140,100 (Leost Code),25/03/2006 00:30:00
26/03/2006,00:00:00,1.140,100 (Leost Code),26/03/2006 00:00:00
27/03/2006,00:00:00,1.280,100 (Leost Code),27/03/2006 20:45:00
28/03/2006,00:00:00,1.550,100 (Leost Code),28/03/2006 08:15:00
29/03/2006,00:00:00,1.530,100 (Leost Code),29/03/2006 00:00:00
30/03/2006,00:00:00,1.520,100 (Leost Code),30/03/2006 00:00:00
31/03/2006,00:00:00,1.520,100 (Leost Code),31/03/2006 00:00:00
01/04/2006,00:00:00,1.510,100 (Leost Code),01/04/2006 00:00:00
02/04/2006,00:00:00,1.500,100 (Leost Code),02/04/2006 05:15:00
03/04/2006,00:00:00,1.490,100 (Leost Code),03/04/2006 00:00:00
04/04/2006,00:00:00,1.480,100 (Leost Code),04/04/2006 00:00:00
05/04/2006,00:00:00,1.480,100 (Leost Code),05/04/2006 00:00:00
06/04/2006,00:00:00,1.480,100 (Leost Code),06/04/2006 04:00:00
07/04/2006,00:00:00,1.500,100 (Leost Code),07/04/2006 06:15:00
08/04/2006,00:00:00,1.510,100 (Leost Code),08/04/2006 21:45:00
09/04/2006,00:00:00,1.760,100 (Leost Code),09/04/2006 20:30:00
10/04/2006,00:00:00,1.800,100 (Leost Code),10/04/2006 06:15:00
11/04/2006,00:00:00,1.770,100 (Leost Code),11/04/2006 00:00:00
12/04/2006,00:00:00,1.760,100 (Leost Code),12/04/2006 00:00:00
13/04/2006,00:00:00,1.750,100 (Leost Code),13/04/2006 00:00:00
14/04/2006,00:00:00,1.760,100 (Leost Code),14/04/2006 10:30:00
15/04/2006,00:00:00,1.730,100 (Leost Code),15/04/2006 00:00:00
16/04/2006,00:00:00,1.730,100 (Leost Code),16/04/2006 22:30:00
17/04/2006,00:00:00,1.730,100 (Leost Code),17/04/2006 00:00:00
18/04/2006,00:00:00,1.720,100 (Leost Code),18/04/2006 00:00:00
19/04/2006,00:00:00,1.710,100 (Leost Code),19/04/2006 00:00:00
20/04/2006,00:00:00,1.710,100 (Leost Code),20/04/2006 05:30:00
21/04/2006,00:00:00,1.790,100 (Leost Code),21/04/2006 08:45:00
22/04/2006,00:00:00,1.700,100 (Leost Code),22/04/2006 22:30:00
23/04/2006,00:00:00,1.720,100 (Leost Code),23/04/2006 17:00:00
24/04/2006,00:00:00,1.690,100 (Leost Code),24/04/2006 00:00:00
25/04/2006,00:00:00,1.680,100 (Leost Code),25/04/2006 20:30:00
26/04/2006,00:00:00,1.680,100 (Leost Code),26/04/2006 00:00:00
27/04/2006,00:00:00,1.670,100 (Leost Code),27/04/2006 00:00:00
28/04/2006,00:00:00,1.670,100 (Leost Code),28/04/2006 00:00:00
29/04/2006,00:00:00,1.680,100 (Leost Code),29/04/2006 16:45:00
30/04/2006,00:00:00,1.680,100 (Leost Code),30/04/2006 00:00:00
01/05/2006,00:00:00,1.680,100 (Leost Code),01/05/2006 00:00:00
02/05/2006,00:00:00,---,255 (255),
03/05/2006,00:00:00,---,255 (255),
04/05/2006,00:00:00,---,255 (255),
05/05/2006,00:00:00,---,255 (255),
06/05/2006,00:00:00,---,255 (255),
07/05/2006,00:00:00,---,255 (255),
08/05/2006,00:00:00,---,255 (255),
09/05/2006,00:00:00,---,255 (255),
10/05/2006,00:00:00,---,255 (255),
11/05/2006,00:00:00,---,255 (255),
12/05/2006,00:00:00,---,255 (255),
13/05/2006,00:00:00,---,255 (255),
14/05/2006,00:00:00,---,255 (255),
15/05/2006,00:00:00,---,255 (255),
16/05/2006,00:00:00,---,255 (255),
17/05/2006,00:00:00,---,255 (255),
18/05/2006,00:00:00,---,255 (255),
19/05/2006,00:00:00,---,255 (255),
20/05/2006,00:00:00,---,255 (255),
21/05/2006,00:00:00,---,255 (255),
22/05/2006,00:00:00,---,255 (255),
23/05/2006,00:00:00,---,255 (255),
24/05/2006,00:00:00,---,255 (255),
25/05/2006,00:00:00,---,255 (255),
26/05/2006,00:00:00,---,255 (255),
27/05/2006,00:00:00,---,255 (255),
28/05/2006,00:00:00,---,255 (255),
29/05/2006,00:00:00,---,255 (255),
30/05/2006,00:00:00,---,255 (255),
31/05/2006,00:00:00,---,255 (255),
01/06/2006,00:00:00,---,255 (255),
02/06/2006,00:00:00,---,255 (255),
03/06/2006,00:00:00,---,255 (255),
04/06/2006,00:00:00,---,255 (255),
05/06/2006,00:00:00,---,255 (255),
06/06/2006,00:00:00,---,255 (255),
07/06/2006,00:00:00,---,255 (255),
08/06/2006,00:00:00,---,255 (255),
09/06/2006,00:00:00,---,255 (255),
10/06/2006,00:00:00,---,255 (255),
11/06/2006,00:00:00,---,255 (255),
12/06/2006,00:00:00,---,255 (255),
13/06/2006,00:00:00,---,255 (255),
14/06/2006,00:00:00,---,255 (255),
15/06/2006,00:00:00,---,255 (255),
16/06/2006,00:00:00,---,255 (255),
17/06/2006,00:00:00,---,255 (255),
18/06/2006,00:00:00,---,255 (255),
19/06/2006,00:00:00,---,255 (255),
20/06/2006,00:00:00,---,255 (255),
21/06/2006,00:00:00,---,255 (255),
22/06/2006,00:00:00,---,255 (255),
23/06/2006,00:00:00,---,255 (255),
24/06/2006,00:00:00,---,255 (255),
25/06/2006,00:00:00,---,255 (255),
26/06/2006,00:00:00,---,255 (255),
27/06/2006,00:00:00,---,255 (255),
28/06/2006,00:00:00,---,255 (255),
29/06/2006,00:00:00,---,255 (255),
30/06/2006,00:00:00,---,255 (255),
01/07/2006,00:00:00,---,255 (255),
02/07/2006,00:00:00,---,255 (255),
03/07/2006,00:00:00,---,255 (255),
04/07/2006,00:00:00,---,255 (255),
05/07/2006,00:00:00,---,255 (255),
06/07/2006,00:00:00,---,255 (255),
07/07/2006,00:00:00,---,255 (255),
08/07/2006,00:00:00,---,255 (255),
09/07/2006,00:00:00,---,255 (255),
10/07/2006,00:00:00,---,255 (255),
11/07/2006,00:00:00,---,255 (255),
12/07/2006,00:00:00,---,255 (255),
13/07/2006,00:00:00,---,255 (255),
14/07/2006,00:00:00,---,255 (255),
15/07/2006,00:00:00,---,255 (255),
16/07/2006,00:00:00,---,255 (255),
17/07/2006,00:00:00,---,255 (255),
18/07/2006,00:00:00,---,255 (255),
19/07/2006,00:00:00,---,255 (255),
20/07/2006,00:00:00,---,255 (255),
21/07/2006,00:00:00,---,255 (255),
22/07/2006,00:00:00,---,255 (255),
23/07/2006,00:00:00,---,255 (255),
24/07/2006,00:00:00,---,255 (255),
25/07/2006,00:00:00,---,255 (255),
26/07/2006,00:00:00,---,255 (255),
27/07/2006,00:00:00,---,255 (255),
28/07/2006,00:00:00,---,255 (255),
29/07/2006,00:00:00,---,255 (255),
30/07/2006,00:00:00,---,255 (255),
31/07/2006,00:00:00,---,255 (255),
01/08/2006,00:00:00,---,255 (255),
02/08/2006,00:00:00,---,255 (255),
03/08/2006,00:00:00,---,255 (255),
04/08/2006,00:00:00,---,255 (255),
05/08/2006,00:00:00,---,255 (255),
06/08/2006,00:00:00,---,255 (255),
07/08/2006,00:00:00,---,255 (255),
08/08/2006,00:00:00,---,255 (255),
09/08/2006,00:00:00,---,255 (255),
10/08/2006,00:00:00,---,255 (255),
11/08/2006,00:00:00,---,255 (255),
12/08/2006,00:00:00,---,255 (255),
13/08/2006,00:00:00,---,255 (255),
14/08/2006,00:00:00,---,255 (255),
15/08/2006,00:00:00,---,255 (255),
16/08/2006,00:00:00,---,255 (255),
17/08/2006,00:00:00,---,255 (255),
18/08/2006,00:00:00,---,255 (255),
19/08/2006,00:00:00,---,255 (255),
20/08/2006,00:00:00,---,255 (255),
21/08/2006,00:00:00,---,255 (255),
22/08/2006,00:00:00,---,255 (255),
23/08/2006,00:00:00,---,255 (255),
24/08/2006,00:00:00,---,255 (255),
25/08/2006,00:00:00,---,255 (255),
26/08/2006,00:00:00,---,255 (255),
27/08/2006,00:00:00,---,255 (255),
28/08/2006,00:00:00,---,255 (255),
29/08/2006,00:00:00,---,255 (255),
30/08/2006,00:00:00,---,255 (255),
31/08/2006,00:00:00,---,255 (255),
01/09/2006,00:00:00,1.030,100 (Leost Code),01/09/2006 04:30:00
02/09/2006,00:00:00,1.030,100 (Leost Code),02/09/2006 00:00:00
03/09/2006,00:00:00,1.030,100 (Leost Code),03/09/2006 00:00:00
04/09/2006,00:00:00,1.030,100 (Leost Code),04/09/2006 00:00:00
05/09/2006,00:00:00,1.030,100 (Leost Code),05/09/2006 00:00:00
06/09/2006,00:00:00,1.040,100 (Leost Code),06/09/2006 06:30:00
07/09/2006,00:00:00,1.530,100 (Leost Code),07/09/2006 03:15:00
08/09/2006,00:00:00,1.260,100 (Leost Code),08/09/2006 21:15:00
09/09/2006,00:00:00,1.410,100 (Leost Code),09/09/2006 13:00:00
10/09/2006,00:00:00,1.810,100 (Leost Code),10/09/2006 18:15:00
11/09/2006,00:00:00,1.470,100 (Leost Code),11/09/2006 11:30:00
12/09/2006,00:00:00,1.210,100 (Leost Code),12/09/2006 00:00:00
13/09/2006,00:00:00,1.110,100 (Leost Code),13/09/2006 00:00:00
14/09/2006,00:00:00,1.080,100 (Leost Code),14/09/2006 00:00:00
15/09/2006,00:00:00,1.070,100 (Leost Code),15/09/2006 00:00:00
16/09/2006,00:00:00,1.060,100 (Leost Code),16/09/2006 00:00:00
17/09/2006,00:00:00,1.060,100 (Leost Code),17/09/2006 00:00:00
18/09/2006,00:00:00,1.060,100 (Leost Code),18/09/2006 00:00:00
19/09/2006,00:00:00,1.050,100 (Leost Code),19/09/2006 00:00:00
20/09/2006,00:00:00,1.050,100 (Leost Code),20/09/2006 00:00:00
21/09/2006,00:00:00,1.050,100 (Leost Code),21/09/2006 00:00:00
22/09/2006,00:00:00,1.060,100 (Leost Code),22/09/2006 00:30:00
23/09/2006,00:00:00,1.050,100 (Leost Code),23/09/2006 00:00:00
24/09/2006,00:00:00,1.050,100 (Leost Code),24/09/2006 00:00:00
25/09/2006,00:00:00,1.050,100 (Leost Code),25/09/2006 00:00:00
26/09/2006,00:00:00,1.060,100 (Leost Code),26/09/2006 22:00:00
27/09/2006,00:00:00,1.050,100 (Leost Code),27/09/2006 00:00:00
28/09/2006,00:00:00,1.060,100 (Leost Code),28/09/2006 21:45:00
29/09/2006,00:00:00,1.050,100 (Leost Code),29/09/2006 00:00:00
30/09/2006,00:00:00,1.050,100 (Leost Code),30/09/2006 00:00:00
01/10/2006,00:00:00,1.050,100 (Leost Code),01/10/2006 00:00:00
02/10/2006,00:00:00,1.060,100 (Leost Code),02/10/2006 08:30:00
03/10/2006,00:00:00,1.070,100 (Leost Code),03/10/2006 08:45:00
04/10/2006,00:00:00,1.060,100 (Leost Code),04/10/2006 03:30:00
05/10/2006,00:00:00,1.050,100 (Leost Code),05/10/2006 00:00:00
06/10/2006,00:00:00,1.060,100 (Leost Code),06/10/2006 02:30:00
07/10/2006,00:00:00,1.060,100 (Leost Code),07/10/2006 00:30:00
08/10/2006,00:00:00,1.050,100 (Leost Code),08/10/2006 00:00:00
09/10/2006,00:00:00,1.050,100 (Leost Code),09/10/2006 00:00:00
10/10/2006,00:00:00,1.050,100 (Leost Code),10/10/2006 00:00:00
11/10/2006,00:00:00,1.050,100 (Leost Code),11/10/2006 00:00:00
12/10/2006,00:00:00,1.050,100 (Leost Code),12/10/2006 00:00:00
13/10/2006,00:00:00,1.040,100 (Leost Code),13/10/2006 00:00:00
14/10/2006,00:00:00,1.040,100 (Leost Code),14/10/2006 00:15:00
15/10/2006,00:00:00,1.240,100 (Leost Code),15/10/2006 21:45:00
16/10/2006,00:00:00,1.180,100 (Leost Code),16/10/2006 00:00:00
17/10/2006,00:00:00,1.060,100 (Leost Code),17/10/2006 00:00:00
18/10/2006,00:00:00,1.050,100 (Leost Code),18/10/2006 00:00:00
19/10/2006,00:00:00,1.040,100 (Leost Code),19/10/2006 00:00:00
20/10/2006,00:00:00,1.040,100 (Leost Code),20/10/2006 00:00:00
21/10/2006,00:00:00,1.050,100 (Leost Code),21/10/2006 12:30:00
22/10/2006,00:00:00,1.060,100 (Leost Code),22/10/2006 01:15:00
23/10/2006,00:00:00,1.050,100 (Leost Code),23/10/2006 02:00:00
24/10/2006,00:00:00,1.050,100 (Leost Code),24/10/2006 00:00:00
25/10/2006,00:00:00,1.050,100 (Leost Code),25/10/2006 00:00:00
26/10/2006,00:00:00,1.050,100 (Leost Code),26/10/2006 00:00:00
27/10/2006,00:00:00,1.050,100 (Leost Code),27/10/2006 00:00:00
28/10/2006,00:00:00,1.060,100 (Leost Code),28/10/2006 14:30:00
29/10/2006,00:00:00,1.050,100 (Leost Code),29/10/2006 00:00:00
30/10/2006,00:00:00,1.040,100 (Leost Code),30/10/2006 02:00:00
31/10/2006,00:00:00,1.040,100 (Leost Code),31/10/2006 05:15:00
01/11/2006,00:00:00,1.040,100 (Leost Code),01/11/2006 11:15:00
02/11/2006,00:00:00,1.240,100 (Leost Code),02/11/2006 15:30:00
03/11/2006,00:00:00,1.260,100 (Leost Code),03/11/2006 07:15:00
04/11/2006,00:00:00,1.260,100 (Leost Code),04/11/2006 19:45:00
05/11/2006,00:00:00,1.370,100 (Leost Code),05/11/2006 23:15:00
06/11/2006,00:00:00,1.470,100 (Leost Code),06/11/2006 13:45:00
07/11/2006,00:00:00,1.520,100 (Leost Code),07/11/2006 22:30:00
08/11/2006,00:00:00,1.530,100 (Leost Code),08/11/2006 01:30:00
09/11/2006,00:00:00,1.570,100 (Leost Code),09/11/2006 12:00:00
10/11/2006,00:00:00,1.570,100 (Leost Code),10/11/2006 00:00:00
