datetime,sub_catch0,sub_catch1,sub_catch2,sub_catch3,sub_catch4,sub_catch5,sub_catch6,sub_catch7,sub_catch8,sub_catch9,sub_catch10,sub_catch11,sub_catch12,sub_catch13,sub_catch14,sub_catch15,sub_catch16,sub_catch17,sub_catch18,sub_catch19,sub_catch20,sub_catch21,sub_catch22,sub_catch23,sub_catch24,sub_catch25,sub_catch26,sub_catch27,sub_catch28,sub_catch29,sub_catch30,sub_catch31,sub_catch32,sub_catch33,sub_catch34,sub_catch35,sub_catch36,sub_catch37,sub_catch38,sub_catch39,sub_catch40,sub_catch41,sub_catch42,sub_catch43,sub_catch44,sub_catch45,sub_catch46
2020-02-07 01:50:00,0.03948426839742458,0.0068774807318966,0.04302568496906088,0.0474181502395646,0.06491540570792406,0.1974299365497397,0.03487353208111146,0.08062812279309639,0.03610457748466621,0.02950196415232692,0.03419949593067973,0.01722625791412467,0.07142587203907262,0.05838429425647909,0.00803093625020675,0.01421563733161467,0.0088321669129967,0.02683222923251775,0.01982142008206878,0.03468487193445057,0.00653619415531416,0.0319552690550079,0.0759103826107171,0.01945244577257822,0.01025025171529186,0.00979083124562259,0.0486995413513145,0.02825241300706004,0.02865980781816559,0.03277505293468547,0.00095507954413357,0.01027854020655922,0.01942767035955417,0.01917215745616629,0.02256892384663226,0.0164320352761076,0.19500053006473422,0.03687786040992346,0.02305180067909325,0.00798802234964536,0.01765637378414834,0.00214893545990117,0.01429304551830086,0.0309782758274638,0.0247886844411219,0.00286600780152611,0.02501302031264186
2020-02-07 01:55:00,0.03863510610842032,0.00655669375150427,0.04320118342805163,0.04730626239369543,0.06163624030721046,0.19467943115988612,0.03530323476472711,0.07882650792622371,0.03604196285198959,0.02876367411630865,0.03395721398508882,0.0167896672355731,0.07221793351662519,0.0598418118780855,0.00767676451839786,0.01371597580199932,0.00845625300854202,0.02638393185944539,0.01938295213381144,0.03461671587135888,0.00622581918762522,0.03198482510743985,0.07836005232227769,0.0189736458123439,0.00985316456685223,0.0093902512445415,0.04898316148832312,0.02825669157462488,0.02829933331494534,0.03258056518864661,0.00087865111852093,0.00986591988742969,0.01922076240975441,0.01917915781075149,0.02077580124739755,0.01497455103407428,0.2039992794747694,0.03665274785508633,0.02278390379826576,0.00763504668663804,0.01724792944009669,0.00200625051492271,0.01397289383470332,0.03114554601015504,0.0247048560137672,0.00268984328617744,0.02518650814035623
2020-02-07 02:00:00,0.03780834034767497,0.00625419248834684,0.04336295280026532,0.04714335386994373,0.05855940090111442,0.1918690592726945,0.03572026106049654,0.07691431698014554,0.03601683302627722,0.02804803133049336,0.03369428405366806,0.01636027212045997,0.07297474247927012,0.06123310233326747,0.00734168796234159,0.01323781181191687,0.00809990342492278,0.02591653958909014,0.01894876880234542,0.03451329323501976,0.00593345386780875,0.0320036852564476,0.08076231198066344,0.01850342876605379,0.00947235937736652,0.00900971660855734,0.04926374276717847,0.02822743726726248,0.0279358457130062,0.03238376624756312,0.00080966205746248,0.00947356105734232,0.01899698158962065,0.01915292281028839,0.01915598320218067,0.01367411950782069,0.2124340844528066,0.03636197296469191,0.02251043312448601,0.00730113910599695,0.01684306565300251,0.00187511169702645,0.01365008158680864,0.03128882429270896,0.02460186485080538,0.0025268845701523,0.02534940233669827
2020-02-07 02:05:00,0.03700327223529276,0.00596874844109889,0.04350961484038655,0.04693404887686053,0.05567018295132995,0.1890084825241415,0.03612436519670201,0.07492161812285443,0.03602523248338606,0.02735421430260509,0.03341270562792428,0.01593850718752882,0.07369679212087162,0.06256025556176822,0.00702449271689195,0.01278005333839804,0.00776191733571725,0.02543395224066502,0.01851950969039699,0.03437666988153958,0.00565786669078974,0.03201223666225856,0.08311067590626357,0.01804210056738438,0.00910728973110463,0.0086480440590893,0.04954063272086563,0.02816749915173851,0.02756982852440783,0.03218455188327061,0.0007472632550659,0.00910028992345537,0.01875838114660628,0.01909613362482957,0.01768982736769962,0.01251092306923193,0.22031801147162236,0.03601346893837799,0.02223190016474731,0.00698508509935905,0.01644253312578768,0.00175442114087648,0.01332600954734193,0.03140833449900836,0.02448130301210076,0.00237596754352714,0.02550057529376529
2020-02-07 02:10:00,0.03621922804768426,0.00569922792816219,0.04364002495551155,0.04668266547587299,0.05295510890487581,0.18610666731745015,0.03651525853607283,0.07287390447316335,0.03606351466453004,0.02668143589354758,0.03311434926276768,0.0155247253851786,0.07438453364991483,0.06382533975000912,0.00672405360284607,0.01234167220539196,0.00744117864526628,0.02493963237253036,0.0180957258734306,0.03420891353412842,0.00539792288292374,0.03201084662330744,0.08539943997963542,0.01758990140773256,0.00875739965135924,0.00830413063705254,0.04981317904323297,0.02807952873936818,0.02720175192169776,0.03198283738063426,0.00069071634746162,0.00874501089647629,0.01850687134606072,0.01901138921665724,0.0163602355415572,0.01146799758435953,0.22766655659656213,0.03561456331144201,0.02194881915475005,0.00668575906321179,0.01604697642820334,0.00164320052809346,0.01300191382665406,0.03150440729554407,0.0243446305092835,0.00223604570655611,0.02563910062255122
2020-02-07 02:15:00,0.03545555819256644,0.00544458383825394,0.04375325236664634,0.04639322920760334,0.05040181286252507,0.1831719294088261,0.03689262240267573,0.07079266988963463,0.03612830812618977,0.02602894169220931,0.03280096272033019,0.01511920731950321,0.07503839098692261,0.06503038198849666,0.00643932682018694,0.01192169986792368,0.0071366492449578,0.02443664560895216,0.01767788864513274,0.03401207789983767,0.0051525758387361,0.03199986410079492,0.08762364862508676,0.01714701321675258,0.0084221297534774,0.00797694755148781,0.05008073528587961,0.02796599094442245,0.02683207103719449,0.03177855627962711,0.00063937752222687,0.00840670071124364,0.01824422366157702,0.01890118984099261,0.01515228423480545,0.01053077249261873,0.23449700839934892,0.0351719924874301,0.02166170220860136,0.0064021169600159,0.01565694494624626,0.00154057646199858,0.01267887984658858,0.03157746683470375,0.02419319051990165,0.00210617680906774,0.02576423461310278
2020-02-07 02:20:00,0.03471163623055403,0.00520384817820093,0.04384856134304593,0.04606948716859104,0.04799893728079446,0.18021197194885297,0.03725611951703461,0.06869592911204363,0.03621648772399622,0.02539600847598825,0.03247417706863883,0.01472216964128021,0.07565877219178413,0.06617735447151911,0.00616934331029532,0.01151922350606958,0.00684736286611125,0.023927698164248,0.01726639749336859,0.03378818908779625,0.00492085939958256,0.03197962114993304,0.08977905735116448,0.01671356639561102,0.00810092221293453,0.00766553455199764,0.05034266587958791,0.02782917508064597,0.02646122461726552,0.03157165921776242,0.0005926839423554,0.00808440303883627,0.01797207580523092,0.01876792503963482,0.01405291450189889,0.00968669264764829,0.24082792610344528,0.03469192300371161,0.02137105522833336,0.00613318965252007,0.01527290282943691,0.00144576782315705,0.01235785564227984,0.03162801827387764,0.0240282224789064,0.00198551117152666,0.02587539884440497
2020-02-07 02:25:00,0.03398685794100643,0.00497612533335922,0.04392539348797506,0.04571492227781079,0.04573604032996244,0.17723391912323272,0.0376054041126379,0.06659868303800281,0.03632515008522573,0.02478194275205374,0.03213551268918104,0.01433377257991542,0.07624607817924534,0.06726816513816972,0.00591320271985962,0.0111333824037043,0.00657241947147562,0.02341517156851708,0.01686158736712235,0.03353923413944545,0.00470188088336744,0.03195043426156218,0.09186209210755734,0.01628964587334695,0.00779322474412224,0.0073689947759716,0.05059835052724232,0.02767120570506272,0.02608963398787418,0.03136211285492863,0.0005501423238529,0.007777223545045,0.01769193736819134,0.01861386542176015,0.01305067065053732,0.00892490607495658,0.2466787133313442,0.03417997753410942,0.0210773744891965,0.00587807684344348,0.0148952380162434,0.00135807481218294,0.01203966442045713,0.03165663617062757,0.02385087334352318,0.00187328145596615,0.02597216390626413
2020-02-07 02:30:00,0.03328064042992294,0.00476058596583785,0.04398335105406487,0.04533276752757842,0.04360351270195692,0.17424434684233156,0.03794013080943266,0.06451333168184048,0.03645159273023849,0.02418607937467927,0.03178638515698355,0.01395412670505152,0.0768007092060934,0.06830465182624246,0.00567006790657239,0.01076336458917898,0.00631098013348824,0.02290115465618717,0.01646373529130552,0.03326715148160758,0.0044948147851181,0.03191260561756799,0.09386980655580297,0.01587529655053918,0.00749849375418833,0.00708649002657638,0.05084718801300642,0.02749405317119011,0.02571770229203857,0.03114989886574081,0.00051131929390374,0.00748432535456015,0.01740519588012836,0.01844115759892536,0.01213547941929288,0.00823600511717431,0.25206927135848045,0.03364126402436727,0.02078114382392481,0.00563594156013658,0.01452427041348186,0.00127686943341347,0.01172501633399001,0.03166395374468876,0.0236622072896719,0.00176879368965406,0.02605423419689874
2020-02-07 02:35:00,0.03259242127779922,0.00455646148424885,0.0440221812651968,0.04492602005867315,0.04159250281033838,0.17124931143636854,0.03825996232130142,0.06245003838467922,0.03659329629301687,0.02360778023427419,0.03142811096489174,0.01358329898966562,0.07732306954582949,0.0692885791640833,0.00543915993319268,0.0104084037170871,0.00606226235287445,0.02238747291819781,0.01607306638267265,0.0329738231171664,0.00429889707752748,0.03186642426332821,0.0957998381946094,0.01547052818875709,0.00721619680997786,0.00681723644193033,0.05108859947052669,0.02729954379521195,0.02534581396385004,0.03093501298727094,0.00047583322645019,0.00720492488425829,0.0171131231289386,0.01825182171436542,0.01129846277691889,0.00761181101007,0.257019718571969,0.03308040668645459,0.02048283233599775,0.00540600513038477,0.0141602593008716,0.00120158721206353,0.01141451945654472,0.03165065298954443,0.02346321406431275,0.00167141937343423,0.02612143376000331
