Timestamp,wl-19,wl-2,wl-21
16/02/2020 16:16,1984.454545,3434.333333,4035.25
16/02/2020 19:09,1972.583333,3443.909091,3956.636364
16/02/2020 22:02,1983.181818,3674.083333,3917.25
17/02/2020 0:55,1739,3426.454545,3607.818182
17/02/2020 3:48,1594.090909,2936,3455.2
17/02/2020 6:40,1659.583333,3001.833333,3515.3
17/02/2020 9:33,1889.090909,3396,3730.166667
17/02/2020 12:26,1891.583333,3465.25,3833.888889
17/02/2020 15:19,1998.090909,3699.818182,3901
17/02/2020 18:12,1999,3574.916667,3927.727273
17/02/2020 21:04,1997.7,3460.181818,3956.25
17/02/2020 23:57,1997.833333,3598.666667,3971.272727
18/02/2020 2:50,1982.909091,3431.181818,3927.166667
18/02/2020 5:43,1882.916667,3258.5,3763.166667
18/02/2020 8:36,1981.181818,3587.363636,3953.545455
18/02/2020 11:28,1988.833333,3768.5,4017.583333
18/02/2020 14:21,2000.090909,3660.818182,4036.363636
18/02/2020 17:14,1996.916667,3770.25,4025.272727
18/02/2020 20:07,1840.363636,3629.727273,4016
18/02/2020 23:00,1967.5,3555.333333,3824.333333
19/02/2020 1:52,1994,3610.545455,3974.181818
19/02/2020 4:45,1905.818182,3538.5,3797.083333
19/02/2020 7:38,2085.454545,3236,3775.454545
19/02/2020 10:31,1996.25,3749.083333,4021.333333
19/02/2020 13:24,1298.333333,3537,4064.090909
19/02/2020 16:16,626.7272727,4152.916667,4072.5
19/02/2020 19:09,1580.833333,3538.363636,4058.7
19/02/2020 22:02,2000.181818,3663.666667,4062.5
20/02/2020 0:55,2001.5,3941.363636,4065.4
20/02/2020 3:48,1999.272727,4248.833333,4041.916667
20/02/2020 6:40,1785.166667,3168.333333,3687.818182
20/02/2020 9:33,2043,3339.818182,3846.583333
20/02/2020 12:26,1866,4407.833333,4087.090909
20/02/2020 15:19,474.3636364,4358.818182,4112
20/02/2020 18:12,1448.25,4642.583333,4093.727273
20/02/2020 21:04,2002.636364,3932.090909,4052.416667
20/02/2020 23:57,1862.916667,4148.833333,4085.181818
21/02/2020 2:50,2003.636364,3660.090909,4084.090909
21/02/2020 5:43,1951.75,3527.583333,3928.833333
21/02/2020 8:36,1758.363636,3138.818182,3656.090909
21/02/2020 11:28,1994.333333,3828.25,3995.083333
21/02/2020 14:21,1396.636364,5000,4117.909091
21/02/2020 17:14,2007,4382,4099.75
21/02/2020 20:07,2002.181818,4052.090909,4056.272727
21/02/2020 23:00,2002.5,3613.166667,4005.416667
22/02/2020 1:52,1997.181818,3531.363636,4051.363636
22/02/2020 4:45,1996.916667,4039.583333,4074.416667
22/02/2020 7:38,1856.166667,3256.727273,3772.727273
22/02/2020 10:31,1890.363636,3271.916667,3792.5
22/02/2020 13:24,2009.333333,3833,4096.272727
22/02/2020 16:16,2003.818182,3825.75,4109.833333
22/02/2020 19:09,2000.833333,3819.090909,4085.090909
22/02/2020 22:02,1999.909091,3515.25,4032.909091
23/02/2020 0:55,2001.083333,4051.083333,4084.909091
23/02/2020 3:48,1999.818182,4231.181818,4090.5
23/02/2020 6:40,1991.5,3512.25,4040.272727
23/02/2020 9:33,1813.363636,3188,3717.5
23/02/2020 12:26,1991,3583.5,3982.272727
23/02/2020 15:19,2005,3851.454545,4109
23/02/2020 18:12,2003.545455,3593.666667,4108.727273
23/02/2020 21:04,2002.272727,3561.818182,4080.583333
23/02/2020 23:57,2002,3929,4087.333333
24/02/2020 2:50,2000.090909,3979.727273,4105.363636
24/02/2020 5:43,2000.833333,3948.583333,4106.083333
24/02/2020 8:36,1688.727273,3829.090909,3955.727273
24/02/2020 11:28,315.9166667,3375.583333,3877.909091
24/02/2020 14:21,317.9090909,4222.363636,4113.1
24/02/2020 17:14,317.3333333,4885.25,4128.916667
24/02/2020 20:07,314.7272727,4117.272727,4106.9
24/02/2020 23:00,319.9166667,3794.416667,4072
25/02/2020 1:52,471.6363636,4360.818182,4104.636364
25/02/2020 4:45,318.6666667,4646.583333,4105.25
25/02/2020 7:38,316.9166667,4865.727273,4092.272727
25/02/2020 10:31,314.7272727,3297.916667,3801.5
25/02/2020 13:24,317.0833333,3479.272727,4000.454545
25/02/2020 16:16,317.9090909,4424.416667,4122.916667
25/02/2020 19:09,314.1666667,3869.090909,4114
25/02/2020 22:02,316.2857143,3754,4040.7
26/02/2020 0:55,315.5714286,3483.916667,3974.666667
26/02/2020 3:48,,4368.272727,4093
27/02/2020 17:14,315,4648.375,4111
27/02/2020 20:07,316.4545455,4619.454545,4115.9
27/02/2020 23:00,316.5,3917.5,3951.583333
28/02/2020 1:52,653.6,3380.909091,3855.4
28/02/2020 4:45,1838,4037,4077.75
28/02/2020 7:38,1439.083333,4247.363636,4113.272727
28/02/2020 10:31,314,3749.25,4006.583333
28/02/2020 13:24,316,3359.090909,4058.272727
28/02/2020 16:16,316.8888889,3675,4235.636364
28/02/2020 19:09,316,4192.583333,4112.4
28/02/2020 22:02,,4867.545455,4122
29/02/2020 0:55,318.5,3404.666667,3902
29/02/2020 3:48,316.5454545,3773.818182,4016.666667
29/02/2020 6:40,315.8333333,4619.727273,4109.166667
29/02/2020 9:33,317.3,4750.090909,4123.833333
29/02/2020 12:26,316.3,3499.5,4007.9
29/02/2020 15:19,317.0909091,3644.818182,4025.272727
29/02/2020 18:12,316.7272727,4769.166667,4114.5
29/02/2020 21:04,317.1,4617.272727,4121.454545
29/02/2020 23:57,318.5,3509.583333,3958.285714
1/03/2020 2:50,316.6363636,3377.909091,3896.2
1/03/2020 5:43,316.5,3643.25,4033.75
1/03/2020 8:36,314.9090909,4364.272727,4100.090909
1/03/2020 11:28,315.4166667,4664.083333,4123.1
1/03/2020 14:21,318.8,3813.363636,4070.636364
1/03/2020 17:14,319.2727273,4413.833333,4110.083333
1/03/2020 20:07,314.25,5000,4121.625
1/03/2020 23:00,316.2222222,4417.666667,4116.6
2/03/2020 1:52,318.75,3408.909091,3917.181818
2/03/2020 4:45,318,3364.583333,3878.333333
2/03/2020 7:38,315.4166667,3493.090909,4005.727273
2/03/2020 10:31,316.8181818,4286.333333,4078.083333
2/03/2020 13:24,319.6666667,4483.636364,4102.363636
2/03/2020 16:16,316.5555556,3668.5,4151.636364
2/03/2020 19:09,316.4166667,4532.083333,4090.272727
2/03/2020 22:02,315.4545455,5000,4189.333333
3/03/2020 0:55,318.1818182,4152.833333,4088.181818
3/03/2020 3:48,317.3,3404.818182,3922.666667
3/03/2020 6:40,317.1666667,3434.916667,3944.090909
3/03/2020 9:33,316.2727273,3497.090909,4008.583333
3/03/2020 12:26,316.0909091,3670,4059.818182
3/03/2020 15:19,316.6363636,3717.454545,4086.083333
3/03/2020 18:12,316.9166667,4420.166667,4100.416667
3/03/2020 21:04,1236,4375.454545,4113.090909
3/03/2020 23:57,1999.333333,4416.333333,4120.166667
4/03/2020 2:50,1998.090909,3513.454545,4029.545455
4/03/2020 5:43,2000.166667,3387.666667,3900.75
4/03/2020 8:36,2002.7,3409.090909,3924.9
4/03/2020 11:28,1861.363636,3404.916667,3917.333333
4/03/2020 14:21,1999,3443.909091,3954.636364
4/03/2020 17:14,2000.090909,3458.083333,3970.636364
4/03/2020 20:07,1998.416667,3507.636364,4018.9
4/03/2020 23:00,1995.6,3669.666667,4056.166667
5/03/2020 1:52,1995.416667,4205.272727,4063.454545
5/03/2020 4:45,1938.4,3336.666667,3840.833333
5/03/2020 7:38,1888.727273,3260.909091,3773.909091
5/03/2020 10:31,1944.75,3484.833333,3853.916667
5/03/2020 13:24,810.1,3474.166667,3832
5/03/2020 16:16,1372.636364,3509.090909,3851.3
5/03/2020 19:09,1988.5,3421.545455,3921
5/03/2020 22:02,1983.2,3490.545455,3996.166667
6/03/2020 0:55,1983.3,3780.083333,4043.272727
6/03/2020 3:48,1971.363636,3572.181818,3952.75
6/03/2020 6:40,1738.272727,3115.666667,3614.545455
6/03/2020 9:33,1848.545455,3230.181818,3731.25
6/03/2020 12:26,2007.916667,3414.272727,3921.416667
6/03/2020 15:19,1998.636364,3508.090909,4019.454545
6/03/2020 18:12,1995.666667,3522.2,4027.916667
6/03/2020 21:04,1993.727273,3503.777778,4014.727273
6/03/2020 23:57,1993.636364,3981.9,4056
7/03/2020 2:50,1992.454545,4226.727273,4078.090909
7/03/2020 5:43,1962.833333,3532.4,3919.75
7/03/2020 8:36,1928.3,3185.3,3692.545455
7/03/2020 11:28,849.3333333,3355.363636,3865.916667
7/03/2020 14:21,316.6,3476.7,4173.727273
7/03/2020 17:14,316.4166667,3525.090909,4202.416667
7/03/2020 20:07,457,3470,3978.636364
7/03/2020 23:00,1997.2,3461.1,3977.416667
8/03/2020 1:52,2002,3695.714286,3984.8
8/03/2020 4:45,1971.8,3371.181818,3862.7
8/03/2020 7:38,1660.636364,3041.545455,3554.8
8/03/2020 10:31,1784.4,3150.111111,3685.4
8/03/2020 13:24,2000.272727,3416.363636,3924.555556
8/03/2020 16:16,2012.1,3512.7,4101.833333
8/03/2020 19:09,1999.416667,3517.333333,4033.818182
8/03/2020 22:02,1996.545455,3464.454545,3972.545455
9/03/2020 0:55,1997.454545,3523.1,4034.181818
