time,wl-21,wl-21_catchment,wl-2,wl-2_catchment,wl-19,wl-19_catchment
2020-02-12 01:50:00,231.090909,73.57268852791607,235.66666699999996,73.57268852791607,103.16666699999996,73.57268852791607
2020-02-12 01:55:00,231.090909,73.1790979122342,235.66666699999996,73.1790979122342,103.16666699999996,73.1790979122342
2020-02-12 02:00:00,231.090909,72.78824032958856,235.66666699999996,72.78824032958856,103.16666699999996,72.78824032958856
2020-02-12 02:05:00,231.090909,72.40009245328977,235.66666699999996,72.40009245328977,103.16666699999996,72.40009245328977
2020-02-12 02:10:00,231.090909,72.0146311927899,235.66666699999996,72.0146311927899,103.16666699999996,72.0146311927899
2020-02-12 02:15:00,231.090909,71.63183369091773,235.66666699999996,71.63183369091773,103.16666699999996,71.63183369091773
2020-02-12 02:20:00,231.090909,71.25167732115064,235.66666699999996,71.25167732115064,103.16666699999996,71.25167732115064
2020-02-12 02:25:00,231.090909,70.87413968492288,235.66666699999996,70.87413968492288,103.16666699999996,70.87413968492288
2020-02-12 02:30:00,231.090909,70.49919860896932,235.66666699999996,70.49919860896932,103.16666699999996,70.49919860896932
2020-02-12 02:35:00,231.090909,70.12683214270444,235.66666699999996,70.12683214270444,103.16666699999996,70.12683214270444
2020-02-12 02:40:00,231.090909,69.7570185556359,235.66666699999996,69.7570185556359,103.16666699999996,69.7570185556359
2020-02-12 02:45:00,231.090909,69.38973633481213,235.66666699999996,69.38973633481213,103.16666699999996,69.38973633481213
2020-02-12 02:50:00,231.090909,69.0249641823037,235.66666699999996,69.0249641823037,103.16666699999996,69.0249641823037
2020-02-12 02:55:00,13.083333000000039,68.66268101271764,37.90909099999999,68.66268101271764,18.81818199999998,68.66268101271764
2020-02-12 03:00:00,13.083333000000039,68.30286595074438,37.90909099999999,68.30286595074438,18.81818199999998,68.30286595074438
2020-02-12 03:05:00,13.083333000000039,67.9454983287369,37.90909099999999,67.9454983287369,18.81818199999998,67.9454983287369
2020-02-12 03:10:00,13.083333000000039,67.59055768432154,37.90909099999999,67.59055768432154,18.81818199999998,67.59055768432154
2020-02-12 03:15:00,13.083333000000039,67.23802375803993,37.90909099999999,67.23802375803993,18.81818199999998,67.23802375803993
2020-02-12 03:20:00,13.083333000000039,66.88787649102176,37.90909099999999,66.88787649102176,18.81818199999998,66.88787649102176
2020-02-12 03:25:00,13.083333000000039,66.54009602268779,37.90909099999999,66.54009602268779,18.81818199999998,66.54009602268779
2020-02-12 03:30:00,13.083333000000039,66.19466268848272,37.90909099999999,66.19466268848272,18.81818199999998,66.19466268848272
2020-02-12 03:35:00,13.083333000000039,65.85155701763755,37.90909099999999,65.85155701763755,18.81818199999998,65.85155701763755
2020-02-12 03:40:00,13.083333000000039,65.51075973096079,37.90909099999999,65.51075973096079,18.81818199999998,65.51075973096079
2020-02-12 03:45:00,13.083333000000039,65.17225173865843,37.90909099999999,65.17225173865843,18.81818199999998,65.17225173865843
2020-02-12 03:50:00,13.083333000000039,64.83601413818197,37.90909099999999,64.83601413818197,18.81818199999998,64.83601413818197
2020-02-12 03:55:00,13.083333000000039,64.50202821210411,37.90909099999999,64.50202821210411,18.81818199999998,64.50202821210411
2020-02-12 04:00:00,13.083333000000039,64.17027542602204,37.90909099999999,64.17027542602204,18.81818199999998,64.17027542602204
2020-02-12 04:05:00,13.083333000000039,63.840737426487436,37.90909099999999,63.840737426487436,18.81818199999998,63.840737426487436
2020-02-12 04:10:00,13.083333000000039,63.51339603896318,37.90909099999999,63.51339603896318,18.81818199999998,63.51339603896318
2020-02-12 04:15:00,13.083333000000039,63.18823326580624,37.90909099999999,63.18823326580624,18.81818199999998,63.18823326580624
2020-02-12 04:20:00,13.083333000000039,62.86523128427633,37.90909099999999,62.86523128427633,18.81818199999998,62.86523128427633
2020-02-12 04:25:00,13.083333000000039,62.54437244457004,37.90909099999999,62.54437244457004,18.81818199999998,62.54437244457004
2020-02-12 04:30:00,13.083333000000039,62.225639267880055,37.90909099999999,62.225639267880055,18.81818199999998,62.225639267880055
2020-02-12 04:35:00,13.083333000000039,61.9090144444791,37.90909099999999,61.9090144444791,18.81818199999998,61.9090144444791
2020-02-12 04:40:00,13.083333000000039,61.59448083182821,37.90909099999999,61.59448083182821,18.81818199999998,61.59448083182821
2020-02-12 04:45:00,13.083333000000039,61.282021452709074,37.90909099999999,61.282021452709074,18.81818199999998,61.282021452709074
2020-02-12 04:50:00,13.083333000000039,60.97161949338007,37.90909099999999,60.97161949338007,18.81818199999998,60.97161949338007
2020-02-12 04:55:00,13.083333000000039,60.66325830175557,37.90909099999999,60.66325830175557,18.81818199999998,60.66325830175557
2020-02-12 05:00:00,13.083333000000039,60.35692138560837,37.90909099999999,60.35692138560837,18.81818199999998,60.35692138560837
2020-02-12 05:05:00,13.083333000000039,60.05259241079472,37.90909099999999,60.05259241079472,18.81818199999998,60.05259241079472
2020-02-12 05:10:00,13.083333000000039,59.75025519950177,37.90909099999999,59.75025519950177,18.81818199999998,59.75025519950177
2020-02-12 05:15:00,13.083333000000039,59.449893728517054,37.90909099999999,59.449893728517054,18.81818199999998,59.449893728517054
2020-02-12 05:20:00,13.083333000000039,431.1403119686294,37.90909099999999,431.1403119686294,18.81818199999998,431.1403119686294
2020-02-12 05:25:00,13.083333000000039,1571.5316229873254,37.90909099999999,1571.5316229873254,18.81818199999998,1571.5316229873254
