2018-10-04 23:30:00,sub_catch0,sub_catch1,sub_catch2,sub_catch3,sub_catch4,sub_catch5,sub_catch6,sub_catch7,sub_catch8,sub_catch9,sub_catch10,sub_catch11,sub_catch12,sub_catch13,sub_catch14,sub_catch15,sub_catch16,sub_catch17,sub_catch18,sub_catch19,sub_catch20,sub_catch21,sub_catch22,sub_catch23,sub_catch24,sub_catch25,sub_catch26,sub_catch27,sub_catch28,sub_catch29,sub_catch30,sub_catch31,sub_catch32,sub_catch33,sub_catch34,sub_catch35,sub_catch36,sub_catch37,sub_catch38,sub_catch39,sub_catch40,sub_catch41,sub_catch42,sub_catch43,sub_catch44,sub_catch45,sub_catch46
2018-10-05 18:35:00,2175.6142106327034,88.45979603301143,2067.1022394999254,1356.910258018194,109.39251329938315,1283.3780101291777,1725.5511446549913,91.60817763079604,1166.7839092189308,1223.210954341009,1033.447717318173,320.1840189178327,3458.6521094270365,1574.0552512512322,115.01375040343464,312.4770695181829,135.34790609481055,370.3429199545058,413.29098149152685,840.9067991970697,81.21868293292655,1332.9248554455967,6011.425036150547,426.14856721570544,140.1657398034414,161.71509492249163,3935.3128602057955,409.8073694487731,929.9280303096006,1460.9247331471324,4.109712943972989,175.9831902327243,245.99157527468012,137.4109130388714,12.717405362242861,7.191869709787178,6634.390340840015,313.740985584581,573.0435748095895,113.96834617454473,312.462845008677,13.697060891618158,157.33768255410175,960.9138999710972,428.69111869161696,21.389013760843554,858.0269538778572
2018-10-05 18:40:00,2125.224063619629,84.81981664547735,2037.445696976509,1329.3159395835596,106.67034082591236,1261.0848524693074,1706.6980809440488,89.57925457460362,1156.140616757083,1191.510010870427,1011.6619912870711,310.17995476295374,3424.052183519488,1560.867381546401,110.47159505780198,302.0457277085604,130.1406580865485,359.12887976935986,401.23677519190807,821.6828743634737,77.83269137635645,1313.599972035134,5956.279856840929,413.3561783682665,134.73272742079882,155.67221034793226,3889.635273516906,401.5862671409061,908.8905652695695,1435.9132752094215,3.8626328965719128,169.49892311981225,239.3350064275792,134.05189148852057,12.304719470453623,6.941825140471705,6579.144383455401,304.81834646674326,559.444932428674,109.46093850182201,302.93496407412124,12.971930831558582,152.10004555240178,944.7385358978247,419.81321189431605,20.316053124840092,844.525304893916
2018-10-05 18:45:00,2076.344363623996,81.37314875555197,2007.7323049492054,1302.2122050531168,104.0358131937819,1239.2506117986093,1687.635541355531,87.60066734814673,1145.3389249160919,1160.8718824854327,990.2987099569172,300.5369583460737,3388.9549301578986,1547.3638391447707,106.16101389486833,292.06435589291743,125.19208162793424,348.28048922192335,389.57992503487907,802.7458902075941,74.62887345677369,1294.4348892518517,5900.116085097236,401.00994832353473,129.55964240159858,149.92093089812653,3843.9988490849564,393.4864921964854,888.3142075354632,1411.2240638835106,3.63466894415782,163.3232179380873,232.84875576722777,130.75563535952836,11.909340658989896,6.703011679925078,6523.007353147932,296.13756612227013,546.1375524351938,105.18366523790635,293.7360208520767,12.296257158941778,147.05257877757927,928.6488774460356,411.06582521507363,19.31246394371393,831.0345629697717
2018-10-05 18:50:00,2028.9196505888597,78.10725715626229,1978.007878560478,1275.611752723269,101.48547484419834,1217.8650592308002,1668.384636157005,85.67145773560895,1134.3858676279974,1131.2529432935041,969.36180385402,291.24228766501255,3353.4182543404345,1533.5715613704783,102.06758700281871,282.5092213569283,120.48647985551706,337.7906791832925,378.3086080254302,784.1140403062658,71.59526292665338,1275.435013934928,5843.0359355348655,389.09437205646555,124.63224057894152,144.4440634002057,3798.420056750171,385.51283099051875,868.1954202984482,1386.8594759634943,3.4240214287884414,157.4381325380088,226.53296966294633,127.52483330843741,11.53038132017359,6.474812675691637,6466.034791122219,287.6999135405832,533.1219402710096,101.12217558293298,284.85577369617226,11.665930065304615,142.18993487885808,912.6652608000775,402.4537079127824,18.372778727133095,817.5736852837413
2018-10-05 18:55:00,1982.8968706342414,75.01056371213478,1948.3151854934613,1249.523814476859,99.01603114789343,1196.9181944692705,1648.9671688080625,83.7906346144308,1123.2893596929591,1102.6116821981573,948.853415405885,282.2834177670903,3317.4971665680255,1519.5165499534933,98.17795205481555,273.3580674742803,116.00927803842902,327.65150026169516,367.4110019562684,765.8024674736107,68.72081892536079,1256.6053647380622,5785.138268333345,377.59425326153087,119.93710347227938,139.22560915948335,3752.916169743378,377.6691417943576,848.5299626908669,1362.8216953204783,3.229089440755929,151.82695422427503,220.38703464696584,124.36153770394188,11.16700753698749,6.256651390783402,6408.283880792362,279.5051190653471,520.3977880308491,97.26317275005074,276.2839770723488,11.077240936685367,137.50657144250462,896.8060131295936,393.98081989285754,17.49203646908024,804.1602422825002
2018-10-05 19:00:00,1938.2252558021974,72.07236349744583,1935.0475468441837,1223.954616895317,349.49746568197867,1963.961006672098,1630.4583144038413,182.94608294301594,1137.7498031325367,1074.9085848746024,928.7741263869783,273.64808067121055,3335.8843166907304,1523.5616524784234,94.4797152611625,264.5900081751381,111.74693146505047,317.85433562001265,356.87534897587705,747.8235614485404,65.99534385956527,1237.9505948243363,5731.922191697715,366.4947401767833,115.46159485910253,134.25066864761223,3707.5050438473454,369.95846879923187,829.3129691463407,1339.1126842694432,3.048445727087747,146.47410298517877,214.40969527690535,121.26724773535122,85.32630703250851,59.50830118206366,6371.431860545612,271.5516437785267,507.96405615171216,93.59432509318493,268.01044303248455,10.526837516387982,132.9968232185813,881.0875660444465,385.6504073300328,16.665728902287494,790.8104386867233
2018-10-05 19:05:00,1894.8562105953592,69.28274920849618,1904.4582454490123,1198.9077869110185,337.1932521474803,1936.4109704234506,1611.6583399351337,183.02932351742362,1122.9806268037003,1048.106023186364,909.1231603997418,265.32429640488266,3297.508748638162,1509.8211903387498,90.96137076683286,256.185430924182,107.68684184855418,308.39007881129663,346.69000814369275,730.1872353223309,63.409409488176465,1219.4750112987726,5676.488258575833,355.7813530141771,111.19381813150179,129.5053547611168,3662.2049185467945,362.3831416323387,810.5390234892222,1315.7341606788386,2.880815152587515,141.3650433063195,208.59915723438553,118.24298299720738,80.43712990201344,55.6189064124554,6331.276346792764,263.8369092869742,495.8190505530274,90.10418567529426,260.0250915466193,10.011684695932951,128.65496208696817,865.5245705298538,377.4650706309795,15.889753162111901,777.5391480512208
2018-10-05 19:10:00,1852.7432048814344,66.63254294414428,1874.0866723000765,1174.3847085666816,325.4486212832178,1909.030955964168,1592.6109598515056,182.5916879266462,1108.6446202115746,1022.1681515206046,889.898563039798,257.30039656494336,3258.6559440428227,1495.565119407367,87.61222760533377,248.1259074455852,103.81728137666373,299.24928196709516,336.8434985350358,712.9011811531288,60.954290302403734,1201.18259197626,5620.270264933379,345.440004308252,107.1225748128439,124.97671379453246,3617.034239232818,354.94486244393875,792.2022278097699,1292.687580200311,2.725056157604819,136.4862037229552,202.95317735636837,115.28934854261121,75.90862591866076,52.056376575618586,6288.188686334259,256.35749344390007,483.9604950155305,86.78211938737444,252.31799134925075,9.529030152317356,124.4752465612071,850.1300115431342,369.42682583622394,15.160370013410088,764.3599573806392
2018-10-05 19:15:00,1811.8416727657805,64.1132345575719,1843.9582551786516,1150.384836669925,314.23246644399535,1881.8370031249951,1573.3571496488216,181.703993554097,1094.6614471824505,997.0608095602304,871.0973621163793,249.56504160245612,3219.461732186252,1480.868748947082,84.42234342254616,240.39411150737817,100.12732362950447,290.42227887000337,327.32453424587277,695.9711054582305,58.62190340206735,1183.0769999903905,5563.312313143906,335.4570133056785,103.23732449900238,120.65265336616892,3572.0114993602065,347.64478231286785,774.2962662442767,1269.9741230562033,2.5801447516965603,131.824903356734,197.46914211893755,112.40659231411243,71.70840271675107,48.78731739330047,6242.497782870343,249.10929679259078,472.38559871415015,83.61823683135442,244.8793927195919,9.076374168519427,120.45196238068594,834.9153208509982,361.5371603420028,14.474166916316316,751.2852189706443
2018-10-05 19:20:00,1772.1089170615498,61.71692587681341,1814.096139600331,1126.9059724443653,303.51571937659924,1854.8430737975668,1553.9352648563613,180.42927544500307,1080.9659825187123,972.7514310477931,852.7157100497092,242.10723285453847,3180.0390241512287,1465.8013448460179,81.38246427396548,232.97374314468775,96.6067806759014,281.8992867598421,318.1220524638467,679.4009454469779,56.40475416522765,1165.1615966689872,5505.6688937574,325.8191153557324,99.52814640232101,116.52187661712831,3527.155101349748,340.48356844309444,756.8144638259961,1247.5946848731705,2.445160659759615,127.36928476325153,192.1441359308524,109.59465577892499,67.80748248752636,45.78233267414993,6194.496255815858,242.08768386795074,461.09111891819816,80.60333426999425,237.69975341356175,8.651443073434,116.57945552584087,819.8904870167936,353.7970836527569,13.828025310001973,738.3261071960237
