(C)  Manly Hydraulics Laboratory,,,,,,
,,,,,,
,,,,,,
Date Generated:,1-Nov-17,,,,,
,,,,,,
PORT KEMBLA WAVE DATA,,,,,,
,,,,,,
Selection Restrictions : ,,DATA_STATUS <= 6.0000,,,,
,,,,,,
        Date/Time,    Hsig (m),    Hmax (m),    Tz (s),    Tsig (m),    T P1 (s),    WDIR (deg TN)
1/02/2012 0:00,2.354,4.54,6.08,7.49,9.5,                 
1/02/2012 1:00,2.779,5.17,6.86,8.07,9.5,                 
1/02/2012 2:00,2.616,4.3,6.35,7.69,8.85,                 
1/02/2012 3:00,2.533,3.74,6.42,7.55,8.27,                 
1/02/2012 4:00,2.464,4.49,6.16,7.27,8.85,                 
1/02/2012 5:00,2.32,3.69,5.92,7.02,7.77,                 
1/02/2012 6:00,2.415,4.13,5.85,7.15,8.27,                 
1/02/2012 7:00,2.472,3.95,6.09,7.49,8.85,                 
1/02/2012 8:00,2.388,3.61,6.32,7.82,7.77,                 
1/02/2012 9:00,2.662,4.71,6.77,8.19,7.77,                 
1/02/2012 10:00,2.681,4.42,6.62,8.55,13.52,                 
1/02/2012 11:00,2.673,4.21,6.78,8.73,13.52,                 
1/02/2012 12:00,2.922,5.12,7.38,9.98,13.52,                 
1/02/2012 13:00,3.186,5.16,7.79,10.17,12.23,                 
1/02/2012 14:00,3.146,5.88,7.84,10.52,13.52,                 
1/02/2012 15:00,3.243,4.95,8.06,10.7,13.52,                 
1/02/2012 16:00,3.038,5.32,7.77,9.97,12.23,                 
1/02/2012 17:00,3.14,4.63,7.85,9.64,12.23,                 
1/02/2012 18:00,3.147,5.31,7.97,10.21,12.23,                 
1/02/2012 19:00,2.57,3.86,7.44,9.55,12.23,                 
1/02/2012 20:00,2.279,3.88,6.53,8.4,8.27,                 
1/02/2012 21:00,2.108,3.73,6.48,8.34,8.85,                 
1/02/2012 22:00,2.122,3.52,6.45,8.31,10.27,                 
1/02/2012 23:00,2.063,3.7,6.29,8.62,10.27,                 
2/02/2012 0:00,2.02,3.53,6.24,8.11,8.85,                 
2/02/2012 1:00,2.115,3.23,6.13,8.18,8.27,                 
2/02/2012 2:00,2.349,3.96,6.6,8.68,11.16,                 
2/02/2012 3:00,2.271,3.86,7,8.7,11.16,                 
2/02/2012 4:00,2.26,3.9,6.5,8.76,11.16,                 
2/02/2012 5:00,2.402,4.12,6.61,8.8,11.16,                 
2/02/2012 6:00,2.105,3.93,6.12,8.05,10.27,                 
2/02/2012 7:00,2.05,3.4,6.39,8.27,8.85,                 
2/02/2012 8:00,1.977,3.55,6.06,7.94,10.27,                 
2/02/2012 9:00,2.315,4.3,6.72,8.92,10.27,                 
2/02/2012 10:00,2.17,3.68,6.67,8.65,10.27,                 
2/02/2012 11:00,2.209,3.82,6.82,8.67,11.16,                 
2/02/2012 12:00,1.983,3.15,7.02,8.96,10.27,                 
2/02/2012 13:00,2.179,3.66,7.63,8.88,10.27,                 
2/02/2012 14:00,2.112,3.85,7.37,8.91,10.27,                 
2/02/2012 15:00,2.15,3.37,7.41,8.56,9.5,                 
2/02/2012 16:00,2.063,3.21,7.5,8.89,9.5,                 
2/02/2012 17:00,2.139,3.52,7.24,8.61,9.5,                 
2/02/2012 18:00,2.015,3.34,6.67,8.63,9.5,                 
2/02/2012 19:00,1.927,3.12,6.77,8.6,9.5,                 
2/02/2012 20:00,1.804,3.12,6.64,8.41,9.5,                 
