(C)  Manly Hydraulics Laboratory,,,,,,
,,,,,,
,,,,,,
Date Generated:,1-Nov-17,,,,,
,,,,,,
PORT KEMBLA WAVE DATA,,,,,,
,,,,,,
Selection Restrictions : ,,DATA_STATUS <= 6.0000,,,,
,,,,,,
        Date/Time,    Hsig (m),    Hmax (m),    Tz (s),    Tsig (m),    T P1 (s),    WDIR (deg TN)
1/10/1999 0:00,1.68,2.614,5.4,7.7,10.2,                 
1/10/1999 1:00,1.629,2.473,5.3,7.5,11.1,                 
1/10/1999 2:00,1.774,2.99,5.7,7.8,10.2,                 
1/10/1999 3:00,1.69,2.943,5.8,7.7,7.7,                 
1/10/1999 4:00,1.646,3.054,5.7,8,10.2,                 
1/10/1999 5:00,1.684,2.968,5.8,8.2,10.2,                 
1/10/1999 6:00,1.537,2.565,5.7,8,8.8,                 
1/10/1999 7:00,1.615,3.068,5.8,8.1,10.2,                 
1/10/1999 8:00,1.6,2.607,5.9,8,7.7,                 
1/10/1999 9:00,1.596,2.86,5.9,7.8,7.3,                 
1/10/1999 10:00,1.561,2.619,5.7,7.8,7.3,                 
1/10/1999 11:00,1.551,2.663,5.1,7.6,8.8,                 
1/10/1999 12:00,1.581,2.516,5.1,7.7,8.2,                 
1/10/1999 13:00,1.568,2.577,5.5,7.9,10.2,                 
1/10/1999 14:00,1.551,2.588,5.6,8,11.1,                 
1/10/1999 15:00,1.52,2.663,5.8,8,10.2,                 
1/10/1999 16:00,1.549,2.714,6.1,8.6,9.5,                 
1/10/1999 17:00,1.513,2.576,6.2,8.4,8.2,                 
1/10/1999 18:00,1.514,2.379,6.2,8.4,10.2,                 
1/10/1999 19:00,1.451,2.26,6.6,8.7,10.2,                 
1/10/1999 20:00,1.439,2.06,6.6,8.7,10.2,                 
1/10/1999 21:00,1.439,2.453,6.3,8.5,12.2,                 
1/10/1999 22:00,1.433,2.126,7.2,9.3,13.5,                 
1/10/1999 23:00,1.448,2.411,6.9,9.2,11.1,                 
2/10/1999 0:00,1.447,2.702,7.3,9.4,11.1,                 
2/10/1999 1:00,1.569,2.27,7.4,9.4,10.2,                 
2/10/1999 2:00,1.495,2.368,7.3,9.3,12.2,                 
2/10/1999 3:00,1.406,2.526,6.8,8.9,9.5,                 
2/10/1999 4:00,1.526,2.637,6.8,9.1,13.5,                 
2/10/1999 5:00,1.698,2.885,7.8,10.2,12.2,                 
2/10/1999 6:00,1.591,2.588,6.3,8.7,10.2,                 
2/10/1999 7:00,1.554,2.751,6.4,9.3,13.5,                 
2/10/1999 8:00,1.52,2.627,6.9,9.5,13.5,                 
2/10/1999 9:00,1.618,3.11,6.9,9.6,10.2,                 
2/10/1999 10:00,1.654,2.891,6.7,9.1,12.2,                 
2/10/1999 11:00,1.682,2.614,6.8,9.2,12.2,                 
2/10/1999 12:00,1.622,2.78,6.3,9,11.1,                 
2/10/1999 13:00,1.529,2.336,6.5,9,12.2,                 
2/10/1999 14:00,1.55,2.192,6.6,8.9,12.2,                 
2/10/1999 16:00,1.66,2.804,6.4,8.7,12.2,                 
2/10/1999 17:00,1.809,3.183,6.6,8.8,11.1,                 
2/10/1999 18:00,1.628,2.904,6.4,9,11.1,                 
2/10/1999 19:00,1.619,2.843,6.7,8.8,12.2,                 
2/10/1999 20:00,1.664,2.576,6.4,8.8,12.2,                 
2/10/1999 21:00,1.644,2.976,6.5,8.7,11.1,                 
